label,bucket_value,n,pos_rate,err_rate,FNR,FPR,bucket_type,variant
fake_urgency,bevrand,1.0,1.0,0.0,0.0,0.0,source,MODEL
fake_urgency,bidcom,5.0,0.6,0.0,0.0,0.0,source,MODEL
fake_urgency,boca,2.0,0.0,0.0,0.0,0.0,source,MODEL
fake_urgency,booking,4.0,0.25,0.0,0.0,0.0,source,MODEL
fake_urgency,boots,2.0,0.0,0.5,0.0,0.5,source,MODEL
fake_urgency,bozoom,2.0,0.0,0.5,0.0,0.5,source,MODEL
fake_urgency,coderhouse,5.0,0.4,0.0,0.0,0.0,source,MODEL
fake_urgency,communiTEA,1.0,0.0,0.0,0.0,0.0,source,MODEL
fake_urgency,comprasentacna,4.0,0.0,0.0,0.0,0.0,source,MODEL
fake_urgency,creciendo,1.0,0.0,0.0,0.0,0.0,source,MODEL
fake_urgency,crehana,1.0,0.0,0.0,0.0,0.0,source,MODEL
fake_urgency,desconocido,1.0,1.0,0.0,0.0,0.0,source,MODEL
fake_urgency,dexter,1.0,0.0,0.0,0.0,0.0,source,MODEL
fake_urgency,discordiapersa,2.0,0.0,0.0,0.0,0.0,source,MODEL
fake_urgency,domestika,3.0,1.0,0.0,0.0,0.0,source,MODEL
fake_urgency,duolingo,1.0,1.0,0.0,0.0,0.0,source,MODEL
fake_urgency,eBook,3.0,0.0,0.6666666666666666,0.0,0.6666666666666666,source,MODEL
fake_urgency,ebay,1.0,0.0,1.0,0.0,1.0,source,MODEL
fake_urgency,email,1.0,0.0,0.0,0.0,0.0,source,MODEL
fake_urgency,etsy,5.0,0.2,0.0,0.0,0.0,source,MODEL
fake_urgency,falabella,2.0,1.0,0.0,0.0,0.0,source,MODEL
fake_urgency,fravega,1.0,0.0,1.0,0.0,1.0,source,MODEL
fake_urgency,gadnic,4.0,1.0,0.0,0.0,0.0,source,MODEL
fake_urgency,glowetta,2.0,0.0,0.0,0.0,0.0,source,MODEL
fake_urgency,google,1.0,1.0,0.0,0.0,0.0,source,MODEL
fake_urgency,hospedium,1.0,0.0,0.0,0.0,0.0,source,MODEL
fake_urgency,hostinger,1.0,1.0,0.0,0.0,0.0,source,MODEL
fake_urgency,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,243.0,0.0,0.0823045267489712,0.0,0.0823045267489712,source,MODEL
fake_urgency,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,1.0,1.0,0.0,0.0,0.0,source,MODEL
fake_urgency,kissmetric,1.0,1.0,0.0,0.0,0.0,source,MODEL
fake_urgency,la_nación,1.0,1.0,0.0,0.0,0.0,source,MODEL
fake_urgency,legacy_club,1.0,1.0,0.0,0.0,0.0,source,MODEL
fake_urgency,light_in_the_box,1.0,1.0,0.0,0.0,0.0,source,MODEL
fake_urgency,loned&carla,2.0,0.0,0.0,0.0,0.0,source,MODEL
fake_urgency,mercado_libre,2.0,0.5,0.0,0.0,0.0,source,MODEL
