label,precision,recall,f1,AP(average_precision),variant,thr
fake_urgency,0.762114537444934,0.9010416666666666,0.8257756563245824,0.9241969178171344,MODEL(thresholded),0.35
fake_urgency,0.7723214285714286,0.9010416666666666,0.8317307692307693,0.9241969178171344,SYSTEM(+prefilter),0.35
fake_scarcity,0.975609756097561,0.5194805194805194,0.6779661016949152,0.7563359427502937,MODEL(thresholded),0.75
fake_scarcity,0.975609756097561,0.5194805194805194,0.6779661016949152,0.7563359427502937,SYSTEM(+prefilter),0.75
shaming,0.8481012658227848,0.9305555555555556,0.8874172185430463,0.9086385471207092,MODEL(thresholded),0.35
shaming,0.8589743589743589,0.9305555555555556,0.8933333333333333,0.9086385471207092,SYSTEM(+prefilter),0.35
social_proof,0.7729257641921398,0.7972972972972973,0.7849223946784922,0.8639788852282947,MODEL(thresholded),0.39999999999999997
social_proof,0.7763157894736842,0.7972972972972973,0.7866666666666666,0.8639788852282947,SYSTEM(+prefilter),0.39999999999999997
